"devicename","FriendlyName","DriverVersion","DriverDate"
"USB Serial Device","USB Serial Device (COM3)","10.0.22000.653","20060621000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"HID-compliant consumer control device",,"10.0.22000.1","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"HID-compliant vendor-defined device",,"10.0.22000.1","20060621000000.******+***"
"HID-compliant headset",,"10.0.22000.653","20090421000000.******+***"
"HID-compliant consumer control device",,"10.0.22000.1","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","Headset Microphone (Plantronics Blackwire 3225 Series)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Headset Earphone (Plantronics Blackwire 3225 Series)","10.0.22000.1","20210506000000.******+***"
"USB Audio Device","Plantronics Blackwire 3225 Series","10.0.22000.653","20220428000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","AMD USB 3.10 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","4 - HDMI (AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","3 - CX156 (AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","2 - CX156 (AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","1 - HS156PC (AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"AMD High Definition Audio Device",,"10.0.1.24","20220806000000.******+***"
"High Definition Audio Bus",,"21.30.0.1000","20210917000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"AMD Radeon VII",,"31.0.12019.9007","20220819000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Upstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI Express Root Complex",,"10.0.22000.918","20060621000000.******+***"
"High Definition Audio Controller",,"10.0.22000.1","20210506000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","AMD USB 3.10 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"AMD PSP 11.0 Device",,"5.19.0.0","20220306000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Disk drive","WDS200T1X0E-00AFY0","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","Samsung SSD 970 EVO Plus 2TB","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"Standard SATA AHCI Controller",,"10.0.22000.856","20060621000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Standard SATA AHCI Controller",,"10.0.22000.856","20060621000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"HID-compliant vendor-defined device",,"10.0.22000.1","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","SPDIF Interface (Realtek USB Audio)","10.0.22000.1","20210506000000.******+***"
"Realtek USB Audio",,"6.3.9600.2307","20211011000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","AMD USB 3.10 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"Device Information Service",,"10.0.22000.856","20060621000000.******+***"
"Generic Access Profile",,"10.0.22000.856","20060621000000.******+***"
"Generic Attribute Profile",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Device","LE-skull","10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Device Information Service",,"10.0.22000.856","20060621000000.******+***"
"Generic Attribute Profile",,"10.0.22000.856","20060621000000.******+***"
"Generic Access Profile",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Device","GDB5-187B","10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Logitech Download Assistant",,"1.10.86.0","20190927000000.******+***"
"HID-compliant mouse",,"10.0.22000.653","20060621000000.******+***"
"HID Keyboard Device",,"10.0.22000.653","20060621000000.******+***"
"Bluetooth Low Energy GATT compliant HID device",,"10.0.22000.653","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Device Information Service",,"10.0.22000.856","20060621000000.******+***"
"Generic Attribute Profile",,"10.0.22000.856","20060621000000.******+***"
"Generic Access Profile",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Device","MX Master 2S","10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth Low Energy GATT compliant HID device",,"10.0.22000.653","20060621000000.******+***"
"Bluetooth LE Generic Attribute Service",,"10.0.22000.856","20060621000000.******+***"
"Device Information Service",,"10.0.22000.856","20060621000000.******+***"
"Generic Attribute Profile",,"10.0.22000.856","20060621000000.******+***"
"Generic Access Profile",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth LE Device","MX Ergo","10.0.22000.856","20060621000000.******+***"
"Microsoft Bluetooth LE Enumerator",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth Device (Personal Area Network)","Bluetooth Device (Personal Area Network) #3","10.0.22000.653","20060621000000.******+***"
"Bluetooth Device","HT-SF150","10.0.22000.856","20060621000000.******+***"
"Bluetooth Device","skull","10.0.22000.856","20060621000000.******+***"
"Device Identification Service",,"10.0.22000.856","20060621000000.******+***"
"Microsoft Bluetooth Hands-Free Audio device","skull Hands-Free","10.0.22000.708","20221105000000.******+***"
"Microsoft Bluetooth Hands-Free Profile AudioGateway role","skull Hands-Free AG","10.0.22000.1","20210406000000.******+***"
"Microsoft Bluetooth Avrcp Transport Driver","HT-SF150 Avrcp Transport","10.0.22000.653","20220427000000.******+***"
"Microsoft Bluetooth Avrcp Transport Driver","skull Avrcp Transport","10.0.22000.653","20220427000000.******+***"
"Microsoft Bluetooth Avrcp Transport Driver","HT-SF150 Avrcp Transport","10.0.22000.653","20220427000000.******+***"
"Microsoft Bluetooth Avrcp Transport Driver","skull Avrcp Transport","10.0.22000.653","20220427000000.******+***"
"Microsoft Bluetooth A2dp Source","HT-SF150","10.0.22000.1","20210406000000.******+***"
"Microsoft Bluetooth A2dp Source","skull","10.0.22000.1","20210406000000.******+***"
"Microsoft Bluetooth Enumerator",,"10.0.22000.856","20060621000000.******+***"
"Bluetooth Device (RFCOMM Protocol TDI)",,"10.0.22000.653","20060621000000.******+***"
"Intel(R) Wireless Bluetooth(R)",,"22.150.0.6","20220530000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"HID-compliant vendor-defined device",,"10.0.22000.1","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"Disk drive","Linux File-Stor Gadget USB Device","10.0.22000.832","20060621000000.******+***"
"USB Mass Storage Device",,"10.0.22000.918","20060621000000.******+***"
"Generic software device","MIDI function [1]","10.0.22000.1","20060621000000.******+***"
"Generic software device","MIDI function [0]","10.0.22000.1","20060621000000.******+***"
"USB Audio Device","MIDI function","10.0.22000.653","20220428000000.******+***"
"Audio Endpoint","Microphone (RODECaster Pro II Main Stereo)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Speakers (RODECaster Pro II Main Stereo)","10.0.22000.1","20210506000000.******+***"
"USB Audio 2.0","RODECaster Pro II Main Stereo","10.0.22000.653","20220428000000.******+***"
"Audio Endpoint","Microphone (RODECaster Pro II Chat)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Speakers (RODECaster Pro II Chat)","10.0.22000.1","20210506000000.******+***"
"USB Audio 2.0","RODECaster Pro II Chat","10.0.22000.653","20220428000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"APC UPS",,"1.2.0.0","20090311000000.******+***"
"American Power Conversion USB UPS",,"10.0.22000.1","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","AMD USB 3.10 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Standard SATA AHCI Controller",,"10.0.22000.856","20060621000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","ST8000VN004-2M2101","10.0.22000.832","20060621000000.******+***"
"Standard SATA AHCI Controller",,"10.0.22000.856","20060621000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Microsoft Wi-Fi Direct Virtual Adapter","Microsoft Wi-Fi Direct Virtual Adapter #2","10.0.22000.1","20060621000000.******+***"
"Microsoft Wi-Fi Direct Virtual Adapter","Microsoft Wi-Fi Direct Virtual Adapter","10.0.22000.1","20060621000000.******+***"
"Intel(R) Wi-Fi 6 AX200 160MHz","Intel(R) Wi-Fi 6 AX200 160MHz","22.160.0.3","20220719000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Intel(R) Ethernet Controller X550","Intel(R) Ethernet Controller X550 #2","4.1.246.2","20220719000000.******+***"
"Intel(R) Ethernet Controller X550","Intel(R) Ethernet Controller X550","4.1.246.2","20220719000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","ASMedia USB 3.20 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","INTEL SSDPE21D480GA","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Downstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Upstream Switch Port",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI Express Root Complex",,"10.0.22000.918","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","Cam Link Pro Audio-4 (Cam Link Pro)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Cam Link Pro Audio-3 (Cam Link Pro)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Cam Link Pro Audio-2 (Cam Link Pro)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","Cam Link Pro Audio-1 (Cam Link Pro)","10.0.22000.1","20210506000000.******+***"
"Cam Link Pro",,"1.1.0.194","20210920000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","1 - ASUS VP28U (2- AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","5 - LC49G95T (2- AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","4 - HS156PC (2- AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"Audio Endpoint","3 - ASUS VP28U (2- AMD High Definition Audio Device)","10.0.22000.1","20210506000000.******+***"
"AMD High Definition Audio Device",,"10.0.1.24","20220806000000.******+***"
"High Definition Audio Bus",,"21.30.0.1000","20210917000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic PnP Monitor",,"10.0.22000.708","20060621000000.******+***"
"Generic software component",,"10.0.22000.1","20060621000000.******+***"
"AMD Radeon RX 6900 XT",,"31.0.12019.9007","20220819000000.******+***"
"PCI Express Downstream Switch Port","AMD PCI Express Downstream Switch Port","10.0.22000.918","20060621000000.******+***"
"PCI Express Upstream Switch Port","AMD PCI Express Upstream Switch Port","10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI Express Root Complex",,"10.0.22000.918","20060621000000.******+***"
"Motherboard resources",,"10.0.22000.1","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"AMD PCI",,"1.0.0.89","20220106000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","Microphone (Blackmagic Design)","10.0.22000.1","20210506000000.******+***"
"USB Audio Device","Blackmagic Design","10.0.22000.653","20220428000000.******+***"
"USB Video Device","Blackmagic Design","10.0.22000.708","20060621000000.******+***"
"ATEM Mini Pro",,"8.8.0.0","20220607000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"HID Keyboard Device",,"10.0.22000.653","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"HID-compliant consumer control device",,"10.0.22000.1","20060621000000.******+***"
"HID-compliant system controller",,"10.0.22000.1","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"HID Keyboard Device",,"10.0.22000.653","20060621000000.******+***"
"USB Input Device",,"10.0.22000.1","20060621000000.******+***"
"USB Composite Device",,"10.0.22000.918","20060621000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic USB Hub",,"10.0.22000.65","20210307000000.******+***"
"Generic SuperSpeed USB Hub",,"10.0.22000.65","20210307000000.******+***"
"USB Root Hub (USB 3.0)",,"10.0.22000.65","20210307000000.******+***"
"USB xHCI Compliant Host Controller","ASMedia USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)","10.0.22000.778","20220617000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"Disk drive","Seagate FireCuda 530 ZP1000GM30013","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","Seagate FireCuda 530 ZP1000GM30013","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","Seagate FireCuda 530 ZP1000GM30013","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"Disk drive","Seagate FireCuda 530 ZP1000GM30013","10.0.22000.832","20060621000000.******+***"
"Standard NVM Express Controller",,"10.0.22000.918","20060621000000.******+***"
"PCI Express Root Port",,"10.0.22000.918","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI standard host CPU bridge",,"10.0.22000.1","20060621000000.******+***"
"PCI Express Root Complex",,"10.0.22000.918","20060621000000.******+***"
"Microsoft Windows Management Interface for ACPI",,"10.0.22000.1","20060621000000.******+***"
"Microsoft ACPI-Compliant System",,"10.0.22000.778","20060621000000.******+***"
"ACPI x64-based PC",,"10.0.22000.1","20060621000000.******+***"
"Charge Arbitration Driver",,"10.0.22000.653","20060621000000.******+***"
"UMBus Root Bus Enumerator",,"10.0.22000.1","20060621000000.******+***"
"Windows Hello Face Software Device",,"10.0.22000.856","20180106000000.******+***"
"AMD Streaming Audio Device",,"1.0.0.6","20210727000000.******+***"
"Microsoft Kernel Debug Network Adapter","Microsoft Kernel Debug Network Adapter","10.0.22000.1","20060621000000.******+***"
"Microsoft Storage Spaces Controller",,"10.0.22000.918","20060621000000.******+***"
"Microsoft Virtual Drive Enumerator",,"10.0.22000.1","20060621000000.******+***"
"Composite Bus Enumerator",,"10.0.22000.653","20060621000000.******+***"
"Microsoft Hyper-V Virtualization Infrastructure Driver",,"10.0.22000.434","20060621000000.******+***"
"VMware Virtual Ethernet Adapter for VMnet8","VMware Virtual Ethernet Adapter for VMnet8","14.0.0.5","20210903000000.******+***"
"VMware Virtual Ethernet Adapter for VMnet1","VMware Virtual Ethernet Adapter for VMnet1","14.0.0.5","20210903000000.******+***"
"AMD Link Controller Emulation",,"21.40.0.6","20210813000000.******+***"
"Microsoft Basic Display Driver",,"10.0.22000.1","20060621000000.******+***"
"Software Root","Software Root","4.25.0.335","20160911000000.******+***"
"File-Stor Gadget","H:\","10.0.22000.653","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
